,,,,,,
Table 3:,Time Component by Geographical Area,,,,,
,,,,,,
,,,Inside the,Outside the,,
Row ID,Time Category (Total Minutes),Calculation,Beltway,Beltway,Rural,Total
,,,,,,
A,Link Stopped Delay,,51977.564799999986,187174.8286,3305.7328000000007,242458.12619999988
B,Link Running Time,,183779.37165,744086.7949899997,54309.66512999999,982175.8317700005
C,Approach Delay,,11991.22013,44290.17163999998,18071.836759999995,74353.22852999992
D,Flow Delay,,15737.368020000005,114842.44755999996,6968.831579999999,137548.64715999993
E,TOTAL ,A+B,235756.93644999998,931261.6235899997,57615.397929999985,1224633.9579700003
,,,,,,
,Time Category (Percentages),,,,,
F,Stopped,A/E,0.22047098839453888,0.200990595831109,0.057375856433662255,0.19798416059106155
G,Running,B/E,0.7795290116054611,0.799009404168891,0.9426241435663378,0.8020158394089385
H,    Approach Delay (of Running Time),C/B,0.06524791124455888,0.0595228566589402,0.3327554444819682,0.0757025637619349
I,    Flow Delay (of Running Time),D/B,0.08563185236029186,0.1543401231324679,0.1283166000622328,0.14004482976548152
J,    Undelayed (of Running Time),1-H-I,0.8491202363951493,0.7861370202085919,0.538927955455799,0.7842526064725837
,,,,,,
K,due to Intersection,F+H,0.28571889963909775,0.2605134524900492,0.3901313009156305,0.27368672435299646
L,due to Link,1-K,0.7142811003609022,0.7394865475099508,0.6098686990843696,0.7263132756470035
,,,,,,
,Note: Total time computed as person minutes of travel on links in area,,,,,
